date,side,got_second_confirmation,second_leg_measurable,outcome2,max_retrace_pct2
2024-11-13,low,True,True,WIN,27.1
2024-11-14,low,True,True,LOSS,160.3
2024-11-19,low,True,True,LOSS,126.5
2024-12-16,low,True,True,LOSS,110.6
2025-01-21,low,True,True,WIN,95.4
2025-01-27,low,True,True,WIN,39.7
2025-03-03,low,True,True,LOSS,216.4
2025-03-14,low,True,True,WIN,20.2
2025-03-21,low,True,True,WIN,94.8
2025-03-25,low,True,True,WIN,38.0
2025-03-28,low,True,True,LOSS,119.0
2025-04-01,low,True,True,LOSS,130.2
2025-04-18,low,True,True,LOSS,102.0
2025-05-01,low,True,True,WIN,-7.5
2025-05-14,low,True,True,LOSS,189.4
2025-06-05,low,True,True,WIN,85.0
2025-06-10,low,True,True,WIN,67.6
2025-07-01,low,True,True,LOSS,120.0
2025-07-24,low,True,True,LOSS,104.3
2025-08-12,low,True,True,LOSS,100.6
2025-08-26,low,True,True,WIN,49.1
2025-08-28,low,True,True,LOSS,100.0
2025-09-11,low,True,True,LOSS,100.0
2025-09-25,low,True,True,WIN,6.8
2025-10-23,low,True,True,LOSS,107.3
2025-10-24,low,True,True,WIN,36.1
2025-10-28,low,True,True,LOSS,110.2
2025-10-29,low,True,True,WIN,78.0
2025-11-07,low,True,True,LOSS,101.1
2025-12-17,low,True,True,LOSS,114.8
2025-12-19,low,True,True,WIN,48.4
2025-12-26,low,True,True,LOSS,103.3
2025-12-31,low,True,True,WIN,46.0
