date,side,sweep_time,sweep_hour,asian_range_pips,reached_target,excursion_beyond_level_pips,excursion_beyond_entry_pips,excursion_pct_of_asian_range,minutes_sweep_to_turn,minutes_turn_to_target,n_pokes,reclaimed,minutes_sweep_to_reclaim,reclaim_price,excursion_at_reclaim_pips,max_adverse_after_reclaim_pips,retested_level_after_reclaim
2021-03-17,high,02:00,2,11.5,True,3.9,1.5,33.9,0,56.0,2,True,5.0,1.19037,3.9,2.0,True
2021-03-18,high,02:10,2,31.3,True,2.3,0.5,7.3,0,26.0,1,True,4.0,1.1986,2.3,1.7,True
2021-03-19,high,02:00,2,17.6,True,17.5,14.0,99.4,56,108.0,1,True,131.0,1.19178,17.5,2.2,True
2021-03-22,low,02:06,2,23.8,True,0.7,1.3,2.9,0,86.0,1,True,0.0,1.18757,0.7,1.3,True
2021-03-23,low,02:36,2,14.0,False,64.7,63.2,462.1,538,,1,False,,,,,
2021-03-24,low,02:05,2,11.2,False,27.3,27.8,243.7,76,,3,True,0.0,1.18401,0.1,27.8,True
2021-03-25,low,03:01,3,23.6,False,41.6,40.8,176.3,538,,19,True,2.0,1.1805,2.1,42.5,True
2021-03-26,high,02:22,2,9.9,True,12.8,13.3,129.3,140,107.0,8,True,0.0,1.1784,0.4,13.3,True
2021-03-29,low,02:00,2,16.1,True,2.2,1.1,13.7,13,97.0,3,True,1.0,1.17755,1.6,2.7,True
2021-03-30,low,02:00,2,9.9,False,52.6,49.7,531.3,470,,2,True,14.0,1.17639,3.4,52.7,True
2021-03-31,high,02:56,2,21.4,False,34.0,34.6,158.9,481,,11,True,0.0,1.17252,0.2,34.6,True
2021-04-01,low,02:00,2,11.6,True,8.7,2.7,75.0,5,54.0,3,True,21.0,1.17213,8.7,2.6,True
2021-04-02,high,04:33,4,14.9,True,2.6,2.4,17.4,14,208.0,4,True,1.0,1.17835,0.8,3.1,True
2021-04-05,low,02:00,2,10.4,True,23.5,11.7,226.0,244,152.0,4,True,375.0,1.17626,23.5,2.4,True
2021-04-06,low,03:05,3,21.9,True,4.5,3.1,20.5,98,30.0,3,True,3.0,1.18011,2.8,6.0,True
