entry_bar,outcome,r_multiple,risk_pips
589,LOSS,-1.0,11.6
819,LOSS,-1.0,4.8
914,LOSS,-1.0,2.0
994,LOSS,-1.0,8.9
1109,OPEN,0.0,6.5
2132,LOSS,-1.0,4.3
2212,LOSS,-1.0,8.0
2282,WIN,1.841,12.6
3485,LOSS,-1.0,18.6
3700,LOSS,-1.0,5.7
3750,WIN,4.819,12.7
6312,WIN,0.961,15.5
7735,LOSS,-1.0,6.2
7825,WIN,1.264,14.0
9209,LOSS,-1.0,12.3
9324,WIN,1.214,18.2
10632,WIN,0.903,7.2
14923,WIN,0.852,8.8
17801,WIN,1.961,7.6
19211,WIN,1.862,6.5
22105,WIN,1.138,8.0
27890,LOSS,-1.0,9.1
28055,LOSS,-1.0,11.6
28115,LOSS,-1.0,12.3
28170,LOSS,-1.0,7.6
28220,OPEN,0.0,16.8
35035,LOSS,-1.0,2.8
35090,LOSS,-1.0,10.5
35295,LOSS,-1.0,10.4
35450,LOSS,-1.0,12.5
36440,WIN,0.638,11.6
37818,LOSS,-1.0,7.3
37968,OPEN,0.0,10.9
39279,LOSS,-1.0,7.9
39354,LOSS,-1.0,4.2
39489,LOSS,-1.0,5.1
39669,LOSS,-1.0,8.5
40640,LOSS,-1.0,2.9
40650,LOSS,-1.0,2.7
40825,LOSS,-1.0,13.3
41060,OPEN,0.0,14.8
43523,LOSS,-1.0,6.2
43613,OPEN,0.0,8.9
47845,LOSS,-1.0,7.5
47980,LOSS,-1.0,11.2
48170,LOSS,-1.0,5.2
48200,OPEN,0.0,12.5
49393,LOSS,-1.0,8.7
49453,OPEN,0.0,2.5
52130,WIN,0.38,7.9
53619,LOSS,-1.0,8.0
53834,WIN,4.667,3.6
54941,LOSS,-1.0,7.2
55206,LOSS,-1.0,7.9
55291,LOSS,-1.0,9.8
55451,OPEN,0.0,22.1
66598,LOSS,-1.0,6.7
66698,OPEN,0.0,12.6
69418,LOSS,-1.0,12.0
69668,LOSS,-1.0,11.5
69713,LOSS,-1.0,19.7
75068,WIN,2.409,4.4
76512,WIN,1.115,11.3
78004,WIN,2.857,9.1
85147,LOSS,-1.0,10.5
85277,WIN,1.415,9.4
89360,LOSS,-1.0,7.1
89425,LOSS,-1.0,9.0
89790,OPEN,0.0,7.1
92290,WIN,1.574,6.8
97883,LOSS,-1.0,15.0
98218,LOSS,-1.0,6.4
98303,LOSS,-1.0,6.1
98348,OPEN,0.0,8.1
103531,LOSS,-1.0,3.8
103546,LOSS,-1.0,4.5
103576,WIN,0.244,17.2
104997,LOSS,-1.0,12.8
105102,WIN,1.911,4.5
106509,LOSS,-1.0,5.9
106614,OPEN,0.0,8.6
107911,LOSS,-1.0,10.7
108061,LOSS,-1.0,8.3
108161,OPEN,0.0,13.0
109272,WIN,4.738,6.5
113388,LOSS,-1.0,5.8
113513,LOSS,-1.0,5.0
113553,LOSS,-1.0,3.2
113578,LOSS,-1.0,5.4
113743,LOSS,-1.0,3.9
113818,OPEN,0.0,12.7
