date,filled,market_outcome,market_r,risk_pips
2023-01-03,True,LOSS,-1.0,4.7
2023-01-05,True,LOSS,-1.0,8.5
2023-01-16,True,LOSS,-1.0,6.2
2023-01-17,True,LOSS,-1.0,5.1
2023-01-18,True,LOSS,-1.0,4.8
2023-01-27,False,LOSS,-1.0,4.7
2023-02-15,True,LOSS,-1.0,18.7
2023-02-16,True,LOSS,-1.0,8.5
2023-02-17,True,LOSS,-1.0,8.4
2023-03-06,True,LOSS,-1.0,6.4
2023-03-13,False,WIN,9.625,7.2
2023-03-15,True,LOSS,-1.0,5.6
2023-03-17,False,WIN,1.348,25.0
2023-03-20,True,LOSS,-1.0,28.5
2023-03-23,False,WIN,0.996,25.5
2023-04-03,True,LOSS,-1.0,5.3
2023-04-14,False,WIN,3.167,7.2
2023-04-28,True,LOSS,-1.0,14.7
2023-05-02,True,LOSS,-1.0,4.5
2023-05-05,True,WIN,3.247,7.3
2023-05-31,True,LOSS,-1.0,10.4
2023-06-15,True,LOSS,-1.0,4.4
2023-06-27,True,LOSS,-1.0,9.1
2023-06-29,True,WIN,4.345,5.5
2023-07-14,True,WIN,1.993,13.5
2023-07-20,True,LOSS,-1.0,11.4
2023-07-27,True,LOSS,-1.0,4.6
2023-08-02,True,LOSS,-1.0,9.3
2023-08-08,False,WIN,2.73,10.0
2023-09-08,True,WIN,3.742,6.6
2023-09-12,True,LOSS,-1.0,6.4
2023-09-21,True,LOSS,-1.0,10.4
2023-10-05,False,WIN,3.984,6.1
2023-10-26,True,LOSS,-1.0,7.5
2023-11-16,True,LOSS,-1.0,5.9
2023-11-20,True,LOSS,-1.0,7.2
2023-12-14,True,LOSS,-1.0,4.4
2024-01-02,False,LOSS,-1.0,10.2
2024-01-31,True,LOSS,-1.0,6.0
2024-03-22,True,LOSS,-1.0,7.0
2024-04-19,True,LOSS,-1.0,12.8
2024-06-10,True,LOSS,-1.0,11.4
2024-07-01,False,WIN,1.33,19.1
2024-09-11,True,LOSS,-1.0,9.5
2024-09-19,False,BE,0.0,64.4
2024-11-07,True,LOSS,-1.0,8.8
2024-11-26,False,BE,0.0,60.7
2024-12-04,False,WIN,1.41,17.3
2024-12-09,True,LOSS,-1.0,10.2
2025-01-13,True,LOSS,-1.0,5.1
2025-01-20,True,LOSS,-1.0,9.0
2025-01-21,True,LOSS,-1.0,12.5
2025-01-24,True,LOSS,-1.0,8.4
2025-01-28,True,LOSS,-1.0,11.2
2025-02-03,True,LOSS,-1.0,6.7
2025-02-13,True,WIN,9.28,5.0
2025-02-26,True,LOSS,-1.0,7.3
2025-03-06,True,WIN,4.452,7.3
2025-03-10,True,LOSS,-1.0,4.7
2025-03-21,True,LOSS,-1.0,4.7
2025-03-27,True,WIN,6.039,5.1
2025-04-04,False,LOSS,-1.0,79.6
2025-04-07,False,WIN,0.889,70.4
2025-04-08,True,LOSS,-1.0,4.4
2025-04-09,False,LOSS,-1.0,58.4
2025-04-10,True,LOSS,-1.0,9.0
2025-04-11,True,LOSS,-1.0,6.3
2025-04-14,True,LOSS,-1.0,14.7
2025-04-15,True,LOSS,-1.0,7.7
2025-04-16,True,BE,0.0,56.7
2025-04-17,True,LOSS,-1.0,7.6
2025-04-21,True,LOSS,-1.0,6.4
2025-04-22,True,WIN,4.709,11.7
2025-04-24,True,LOSS,-1.0,7.3
2025-04-25,True,WIN,3.546,11.9
2025-04-29,True,LOSS,-1.0,6.3
2025-04-30,True,WIN,5.149,7.4
2025-05-01,True,LOSS,-1.0,6.1
2025-05-02,True,LOSS,-1.0,6.7
2025-05-05,True,WIN,7.302,4.3
2025-05-06,True,LOSS,-1.0,6.5
2025-05-07,True,BE,0.0,31.6
2025-05-08,True,LOSS,-1.0,6.6
2025-05-09,True,LOSS,-1.0,7.1
2025-05-15,False,WIN,0.621,34.0
2025-05-19,True,LOSS,-1.0,6.6
2025-05-20,True,BE,0.0,33.4
2025-05-21,False,LOSS,-1.0,17.4
2025-05-22,True,LOSS,-1.0,11.5
2025-05-23,True,LOSS,-1.0,12.8
2025-05-29,True,LOSS,-1.0,4.8
2025-05-30,True,LOSS,-1.0,15.0
2025-06-02,True,LOSS,-1.0,5.1
2025-06-03,True,LOSS,-1.0,6.2
2025-06-04,False,WIN,1.969,13.1
2025-06-05,True,WIN,2.94,8.3
2025-06-09,True,LOSS,-1.0,8.6
2025-06-10,False,WIN,2.644,18.0
2025-06-11,True,WIN,5.792,5.3
2025-06-12,False,LOSS,-1.0,8.9
2025-06-13,True,LOSS,-1.0,8.4
2025-06-19,True,LOSS,-1.0,6.9
2025-06-23,True,WIN,1.686,19.4
2025-06-26,False,BE,0.0,32.8
2025-07-01,True,LOSS,-1.0,5.3
2025-07-07,True,LOSS,-1.0,5.0
2025-07-14,False,BE,0.0,23.4
2025-07-31,True,LOSS,-1.0,8.7
2025-08-04,True,BE,0.0,4.8
2025-08-05,True,LOSS,-1.0,15.3
2025-08-19,True,LOSS,-1.0,5.1
2025-08-22,True,WIN,2.312,10.9
2025-08-26,True,WIN,4.241,11.2
2025-08-29,True,LOSS,-1.0,5.0
2025-09-01,True,LOSS,-1.0,5.5
2025-09-16,True,LOSS,-1.0,4.7
2025-10-08,True,LOSS,-1.0,6.3
2025-10-13,True,WIN,5.388,4.9
2025-10-14,False,WIN,1.953,12.7
2025-10-27,True,WIN,3.738,6.5
2025-10-30,True,LOSS,-1.0,5.0
2025-11-26,True,WIN,4.75,5.2
2025-12-01,True,LOSS,-1.0,4.8
