date,side,outcome,r_multiple,risk_pips,reward_pips
2023-02-01,high,LOSS,-1.0,13.6,15.1
2023-02-02,low,LOSS,-1.0,14.1,17.2
2023-02-06,low,LOSS,-1.0,13.5,15.2
2023-02-09,high,LOSS,-1.0,15.4,19.9
2023-02-10,high,LOSS,-1.0,15.3,18.2
2023-02-13,high,LOSS,-1.0,14.0,17.5
2023-02-15,low,LOSS,-1.0,13.2,28.9
2023-02-16,high,WIN,1.878,13.9,26.1
2023-02-17,low,LOSS,-1.0,14.0,30.8
2023-02-20,high,LOSS,-1.0,14.9,15.0
2023-02-21,low,WIN,0.965,14.1,13.6
2023-02-24,low,LOSS,-1.0,13.9,19.0
2023-02-27,low,WIN,1.356,13.5,18.3
2023-02-28,low,WIN,1.507,14.6,22.0
2023-03-06,high,WIN,1.7,14.0,23.8
2023-03-07,low,WIN,0.907,15.1,13.7
2023-03-09,high,LOSS,-1.0,15.9,11.5
2023-03-10,high,WIN,1.443,13.1,18.9
2023-03-13,high,WIN,4.358,15.9,69.3
2023-03-14,low,LOSS,-1.0,14.3,20.9
2023-03-15,low,LOSS,-1.0,13.5,27.0
2023-03-16,high,LOSS,-1.0,15.5,13.6
2023-03-20,low,LOSS,-1.0,14.5,22.7
2023-03-23,high,WIN,1.91,13.3,25.4
2023-03-27,low,WIN,1.336,13.7,18.3
2023-03-28,high,LOSS,-1.0,14.1,14.0
2023-03-30,high,WIN,1.205,13.2,15.9
2023-03-31,low,LOSS,-1.0,13.6,22.9
2023-04-03,high,LOSS,-1.0,13.5,27.0
2023-04-04,low,WIN,1.467,13.5,19.8
2023-04-06,high,LOSS,-1.0,13.2,18.6
2023-04-10,low,WIN,1.121,14.0,15.7
2023-04-11,high,LOSS,-1.0,13.3,19.4
2023-04-13,low,WIN,1.235,14.9,18.4
2023-04-14,high,WIN,1.471,15.5,22.8
2023-04-18,high,LOSS,-1.0,15.1,13.7
2023-04-19,low,LOSS,-1.0,14.5,16.6
2023-04-24,low,LOSS,-1.0,15.8,11.4
2023-04-25,low,LOSS,-1.0,13.2,14.4
2023-04-27,high,WIN,1.069,13.1,14.0
2023-04-28,low,LOSS,-1.0,17.3,21.6
2023-05-02,high,LOSS,-1.0,13.2,24.6
2023-05-03,high,LOSS,-1.0,14.1,22.8
2023-05-04,high,WIN,0.956,15.8,15.1
2023-05-05,high,WIN,1.705,13.9,23.7
2023-05-08,high,LOSS,-1.0,13.2,22.0
2023-05-11,low,LOSS,-1.0,15.1,21.5
2023-05-15,high,LOSS,-1.0,13.2,15.1
2023-05-16,low,WIN,1.081,13.6,14.7
2023-05-19,high,LOSS,-1.0,13.5,18.5
2023-05-23,low,LOSS,-1.0,14.8,15.1
2023-05-25,low,LOSS,-1.0,13.1,18.5
2023-05-26,high,LOSS,-1.0,13.4,18.2
2023-05-29,high,WIN,1.157,14.0,16.2
2023-05-31,low,LOSS,-1.0,13.8,39.6
2023-06-12,high,LOSS,-1.0,13.3,16.0
2023-06-15,low,WIN,2.659,13.2,35.1
2023-06-16,high,WIN,0.796,15.2,12.1
2023-06-20,high,LOSS,-1.0,14.9,12.6
2023-06-27,high,LOSS,-1.0,13.4,31.5
2023-06-28,low,WIN,1.319,13.5,17.8
2023-06-29,low,WIN,1.745,13.7,23.9
2023-06-30,low,LOSS,-1.0,14.3,12.9
2023-07-05,low,WIN,1.044,13.6,14.2
2023-07-06,high,LOSS,-1.0,13.8,14.2
2023-07-10,low,WIN,1.191,13.1,15.6
2023-07-11,high,WIN,1.318,13.2,17.4
2023-07-12,high,LOSS,-1.0,13.2,20.3
2023-07-14,low,WIN,1.842,14.6,26.9
2023-07-18,high,LOSS,-1.0,13.1,20.3
2023-07-19,high,WIN,0.153,24.8,3.8
2023-07-20,low,LOSS,-1.0,14.7,22.7
2023-07-25,high,WIN,1.351,13.1,17.7
2023-07-27,high,LOSS,-1.0,13.5,38.9
2023-07-28,high,WIN,0.627,17.7,11.1
2023-07-31,low,WIN,1.336,13.1,17.5
2023-08-01,low,LOSS,-1.0,13.4,19.8
2023-08-02,low,LOSS,-1.0,14.0,25.8
2023-08-04,low,WIN,1.069,13.1,14.0
2023-08-08,high,WIN,2.053,13.3,27.3
2023-08-09,high,LOSS,-1.0,13.2,14.3
2023-08-11,high,WIN,1.237,13.5,16.7
2023-08-14,low,WIN,1.201,13.4,16.1
2023-08-15,high,LOSS,-1.0,14.1,15.1
2023-08-18,low,LOSS,-1.0,13.6,20.5
2023-08-22,high,LOSS,-1.0,13.1,21.5
2023-08-23,high,WIN,0.561,17.3,9.7
2023-08-24,low,LOSS,-1.0,14.1,14.6
2023-08-25,low,LOSS,-1.0,14.0,22.1
2023-08-29,low,LOSS,-1.0,13.4,15.5
2023-09-01,low,WIN,1.207,13.5,16.3
2023-09-05,low,LOSS,-1.0,14.2,15.3
2023-09-06,high,LOSS,-1.0,16.5,16.7
2023-09-08,high,WIN,1.843,13.4,24.7
2023-09-11,high,LOSS,-1.0,13.8,16.3
2023-09-12,low,LOSS,-1.0,13.7,30.0
2023-09-13,low,LOSS,-1.0,13.2,19.0
2023-09-14,high,WIN,0.899,14.9,13.4
2023-09-19,low,WIN,1.059,13.5,14.3
2023-09-21,high,LOSS,-1.0,15.1,30.5
2023-09-27,high,WIN,1.051,13.7,14.4
2023-09-28,low,WIN,1.123,13.8,15.5
2023-09-29,high,LOSS,-1.0,13.7,23.1
2023-10-03,low,WIN,1.036,14.0,14.5
2023-10-04,low,WIN,1.259,13.5,17.0
2023-10-05,low,WIN,1.699,14.3,24.3
2023-10-09,low,LOSS,-1.0,13.9,20.8
2023-10-10,low,WIN,0.862,15.9,13.7
2023-10-18,high,WIN,1.133,14.3,16.2
2023-10-20,low,WIN,1.298,13.1,17.0
2023-10-23,low,WIN,1.173,13.3,15.6
2023-10-24,high,WIN,1.466,13.1,19.2
2023-10-25,low,LOSS,-1.0,15.2,12.1
2023-10-26,low,LOSS,-1.0,14.7,25.0
2023-10-31,high,LOSS,-1.0,13.9,20.1
2023-11-06,high,LOSS,-1.0,13.5,13.8
2023-11-15,low,LOSS,-1.0,13.4,14.9
2023-11-16,high,LOSS,-1.0,13.2,24.6
2023-11-20,high,LOSS,-0.783,16.1,30.3
2023-11-21,low,LOSS,-1.0,14.2,19.9
2023-11-23,high,LOSS,-1.0,17.2,12.0
2023-11-24,high,LOSS,-1.0,13.3,14.0
2023-11-27,high,WIN,1.652,13.2,21.8
2023-11-29,low,LOSS,-1.0,13.2,19.2
2023-12-04,low,LOSS,-1.0,15.1,16.2
2023-12-08,low,LOSS,-1.0,14.3,15.5
2023-12-14,low,WIN,2.174,13.2,28.7
