date,side,direction,leg_extreme,stop_level,leg_range_pips,outcome,max_retrace_pct,leg_extreme_bar,window_end,target,bucket
2021-01-04,high,short,1.22566,1.22684,11.8,LOSS,116.1,599,1135,1.22397,>100% (stop)
2021-01-05,high,short,1.22742,1.22804,6.2,LOSS,116.1,2137,2573,1.22548,>100% (stop)
2021-01-06,high,short,1.23224,1.23452,22.8,LOSS,102.2,3500,4006,1.22755,>100% (stop)
2021-01-07,low,long,1.2317,1.2308,9.0,LOSS,173.3,4903,5439,1.2337,>100% (stop)
2021-01-08,high,short,1.22132,1.22653,52.1,WIN,27.1,6352,6873,1.22349,25-50%
2021-01-11,high,short,1.2184,1.21917,7.7,LOSS,103.9,7745,8311,1.21666,>100% (stop)
2021-01-12,high,short,1.21505,1.21752,24.7,LOSS,115.0,9234,9745,1.21386,>100% (stop)
2021-01-13,high,short,1.21941,1.22185,24.4,WIN,35.2,10647,11178,1.22048,25-50%
2021-01-15,low,long,1.21461,1.2134,12.1,LOSS,107.4,13482,14048,1.21573,>100% (stop)
2021-01-18,high,short,1.20725,1.20817,9.2,WIN,77.2,14933,15479,1.20654,75-100%
2021-01-19,low,long,1.21076,1.20938,13.8,WIN,32.6,16354,16895,1.20986,25-50%
2021-01-20,high,short,1.214,1.21576,17.6,WIN,32.4,17816,18332,1.21351,25-50%
2021-01-21,high,short,1.21177,1.21339,16.2,WIN,63.6,19226,19757,1.21153,50-75%
2021-01-22,low,long,1.21608,1.21539,6.9,LOSS,127.5,20670,21191,1.21766,>100% (stop)
2021-01-25,high,short,1.21684,1.21772,8.8,WIN,97.7,22110,22626,1.21601,75-100%
2021-01-26,low,long,1.21311,1.21232,7.9,LOSS,119.0,23471,24057,1.21461,>100% (stop)
2021-01-27,low,long,1.21301,1.21228,7.3,LOSS,113.7,25103,25484,1.2167,>100% (stop)
2021-01-28,low,long,1.20962,1.20833,12.9,WIN,35.7,26378,26919,1.21059,25-50%
2021-01-29,high,short,1.2107,1.21195,12.5,LOSS,112.8,27905,28356,1.2095,>100% (stop)
2021-02-01,low,long,1.21293,1.21216,7.7,LOSS,116.9,29248,29794,1.21363,>100% (stop)
2021-02-02,low,long,1.2076,1.20646,11.4,LOSS,104.4,30683,31229,1.20877,>100% (stop)
2021-02-03,low,long,1.20404,1.20347,5.7,LOSS,110.5,32091,32667,1.205,>100% (stop)
2021-02-04,low,long,1.20136,1.20049,8.7,LOSS,194.3,33570,34101,1.20388,>100% (stop)
2021-02-05,high,short,1.19753,1.19804,5.1,LOSS,176.5,35040,35526,1.19522,>100% (stop)
2021-02-08,high,short,1.20289,1.20486,19.7,WIN,21.8,36460,36961,1.20296,0-25%
2021-02-09,high,short,1.20786,1.20868,8.2,LOSS,212.2,37828,38374,1.20561,>100% (stop)
2021-02-10,high,short,1.21229,1.21337,10.8,LOSS,129.6,39289,39810,1.21088,>100% (stop)
2021-02-11,high,short,1.21274,1.21298,2.4,LOSS,104.2,40645,41236,1.21138,>100% (stop)
2021-02-12,low,long,1.21115,1.21014,10.1,LOSS,104.0,42216,42657,1.21301,>100% (stop)
2021-02-15,high,short,1.21307,1.21375,6.8,LOSS,104.4,43543,44089,1.21174,>100% (stop)
2021-02-16,low,long,1.21431,1.21283,14.8,WIN,28.4,44990,45506,1.21501,25-50%
2021-02-17,low,long,1.20775,1.20716,5.9,LOSS,113.6,46395,46941,1.20982,>100% (stop)
2021-02-18,high,short,1.20448,1.20524,7.6,LOSS,106.6,47850,48376,1.20355,>100% (stop)
2021-02-19,high,short,1.21286,1.21413,12.7,LOSS,102.4,49403,49804,1.20823,>100% (stop)
2021-02-22,low,long,1.21236,1.21052,18.4,LOSS,103.3,50715,51236,1.21355,>100% (stop)
2021-02-23,high,short,1.21545,1.21747,20.2,WIN,17.8,52170,52666,1.21638,0-25%
2021-02-24,high,short,1.21672,1.21696,2.4,LOSS,100.0,53649,54095,1.21473,75-100%
2021-02-25,high,short,1.2171,1.21798,8.8,LOSS,103.4,54951,55532,1.21559,>100% (stop)
2021-02-26,low,long,1.21594,1.21288,30.6,LOSS,106.2,56468,56969,1.21826,>100% (stop)
2021-03-01,low,long,1.20411,1.20283,12.8,LOSS,105.5,57996,58407,1.20956,>100% (stop)
2021-03-02,low,long,1.2011,1.2003,8.0,LOSS,148.7,59321,59837,1.20407,>100% (stop)
2021-03-03,low,long,1.20846,1.20774,7.2,LOSS,134.7,60793,61274,1.20934,>100% (stop)
2021-03-04,low,long,1.20374,1.20267,10.7,LOSS,100.9,62266,62702,1.2063,>100% (stop)
2021-03-05,low,long,1.19596,1.19551,4.5,LOSS,124.4,63561,64137,1.19665,>100% (stop)
2021-03-08,low,long,1.18918,1.18815,10.3,LOSS,101.0,65043,65569,1.19287,>100% (stop)
2021-03-09,high,short,1.18997,1.19088,9.1,LOSS,100.0,66613,66999,1.18355,75-100%
2021-03-10,low,long,1.18835,1.18747,8.8,LOSS,102.3,67873,68434,1.18976,>100% (stop)
