entry,stop_mode,stop_pips,target_frac,be_at_r,min_rr,n_trades,win_rate,expectancy_r,total_r,profit_factor,max_dd_r,avg_risk_pips,avg_rr
immediate,beyond_level,3,0.75,,,618,16.5,-0.231,-142.6,0.72,155.9,3.5,7.42
immediate,beyond_level,5,0.5,,,670,29.0,-0.236,-158.3,0.67,167.0,5.2,2.87
immediate,beyond_level,5,0.5,1.0,,670,24.5,-0.24,-160.6,0.6,170.3,5.2,2.87
reclaim,beyond_level,3,0.5,1.0,,668,23.1,-0.244,-163.2,0.6,171.8,5.0,1.91
immediate,beyond_extreme,3,0.5,1.0,,763,21.6,-0.247,-188.8,0.6,197.5,5.3,2.1
reclaim,beyond_level,3,0.5,,,668,27.8,-0.252,-168.4,0.65,176.0,5.0,1.91
immediate,beyond_extreme,3,0.5,,,763,26.6,-0.256,-195.0,0.65,200.7,5.3,2.1
immediate,beyond_level,3,0.75,1.0,,618,11.3,-0.282,-174.4,0.57,182.1,3.5,7.42
immediate,beyond_level,3,1.0,1.0,,618,8.7,-0.283,-175.0,0.57,186.9,3.5,9.89
immediate,beyond_level,3,0.5,,,618,20.6,-0.308,-190.6,0.61,203.3,3.5,4.95
immediate,beyond_level,3,0.5,1.0,,618,14.7,-0.339,-209.4,0.49,215.4,3.5,4.95
