confirm,pivot_n,break_on,entry_style,retrace,stop_buffer,min_range,n_trades,fill_rate,win_rate,expectancy_r,profit_factor,max_dd_r,avg_risk_pips,avg_rr
reclaim,0,close,pullback,0.382,1.0,15,412,88.2,17.7,-0.145,0.82,63.2,6.0,4.71
pivot,3,close,pullback,0.382,3.0,15,454,88.2,28.2,-0.15,0.79,70.6,12.8,2.2
reclaim,0,close,pullback,0.618,1.0,15,375,80.1,13.9,-0.153,0.82,59.7,4.3,6.31
pivot,5,close,pullback,0.5,1.0,25,138,74.6,21.0,-0.156,0.8,28.5,13.3,3.5
pivot,5,close,pullback,0.382,1.0,15,449,87.5,26.1,-0.156,0.79,70.2,13.1,2.36
pivot,2,wick,pullback,0.618,3.0,15,426,82.4,21.1,-0.157,0.8,75.6,8.5,3.42
reclaim,0,close,pullback,0.5,3.0,0,568,82.7,22.9,-0.158,0.79,95.9,6.9,3.08
pivot,2,close,pullback,0.382,3.0,15,466,90.3,26.4,-0.161,0.78,80.1,11.8,2.36
pivot,2,close,pullback,0.5,3.0,15,441,85.5,24.0,-0.162,0.79,80.3,10.4,2.77
pivot,2,wick,pullback,0.618,1.0,25,153,81.4,14.4,-0.163,0.81,35.8,7.6,5.6
pivot,2,wick,pullback,0.382,3.0,15,471,91.3,25.7,-0.17,0.77,86.4,11.3,2.45
pivot,2,wick,pullback,0.5,3.0,15,450,87.2,23.1,-0.171,0.78,85.3,9.9,2.87
pivot,2,close,pullback,0.382,1.0,25,170,90.4,20.0,-0.171,0.78,40.0,11.5,3.6
pivot,2,close,pullback,0.618,3.0,15,411,79.5,20.9,-0.172,0.78,79.7,8.9,3.35
pivot,5,close,pullback,0.5,3.0,25,138,74.6,23.2,-0.174,0.77,27.1,15.3,2.86
pivot,5,close,pullback,0.382,3.0,0,657,86.7,31.7,-0.176,0.74,117.2,14.1,1.71
pivot,2,close,pullback,0.382,3.0,25,170,90.4,22.4,-0.178,0.77,39.4,13.5,2.89
pivot,3,close,pullback,0.382,3.0,25,165,88.2,23.6,-0.179,0.76,35.9,14.5,2.71
pivot,3,close,pullback,0.5,3.0,15,419,81.4,24.8,-0.181,0.76,77.0,11.1,2.61
pivot,2,wick,pullback,0.5,3.0,25,162,86.2,19.1,-0.187,0.77,43.4,11.2,3.5
pivot,5,close,pullback,0.5,1.0,15,401,78.2,21.7,-0.193,0.75,77.7,11.1,2.93
pivot,5,close,pullback,0.5,3.0,0,595,78.5,27.6,-0.195,0.73,118.8,12.2,2.08
pivot,5,close,pullback,0.618,3.0,0,545,71.8,24.2,-0.199,0.74,110.3,10.4,2.6
pivot,3,close,pullback,0.382,3.0,0,670,88.0,29.1,-0.206,0.71,138.9,12.1,1.92
pivot,5,close,pullback,0.618,1.0,15,370,72.0,18.4,-0.209,0.74,80.7,9.2,3.78
pivot,3,close,pullback,0.618,3.0,15,392,76.0,20.9,-0.21,0.74,84.2,9.6,3.2
pivot,2,close,pullback,0.5,3.0,0,649,85.2,24.8,-0.214,0.71,145.1,9.8,2.44
pivot,2,close,pullback,0.382,3.0,0,684,89.8,27.3,-0.215,0.7,150.8,11.1,2.07
pivot,3,close,pullback,0.382,1.0,15,454,88.2,22.2,-0.218,0.72,98.4,10.8,2.75
reclaim,0,close,pullback,0.382,1.0,0,600,87.5,18.5,-0.218,0.73,135.9,5.8,4.01
pivot,2,close,pullback,0.618,3.0,0,607,79.6,21.7,-0.219,0.72,140.1,8.4,2.95
reclaim,0,close,pullback,0.5,1.0,15,388,82.9,14.9,-0.22,0.74,86.5,5.1,5.43
pivot,2,wick,pullback,0.618,3.0,25,153,81.4,16.3,-0.221,0.74,43.0,9.6,4.18
pivot,2,wick,pullback,0.618,3.0,0,630,82.6,21.4,-0.224,0.71,148.7,8.1,3.0
pivot,3,close,pullback,0.5,3.0,0,620,81.5,25.8,-0.225,0.69,141.2,10.6,2.29
reclaim,0,close,pullback,0.618,1.0,0,547,79.6,14.3,-0.227,0.74,129.1,4.2,5.4
pivot,5,close,pullback,0.382,1.0,0,657,86.7,26.3,-0.227,0.69,148.7,12.1,2.1
pivot,2,wick,pullback,0.382,3.0,0,691,90.7,26.0,-0.238,0.68,168.1,10.6,2.14
pivot,2,wick,pullback,0.5,3.0,0,662,86.9,23.4,-0.242,0.68,163.6,9.3,2.52
pivot,3,close,pullback,0.618,3.0,0,580,76.1,22.2,-0.244,0.69,143.7,9.1,2.81
pivot,2,close,pullback,0.382,1.0,15,466,90.3,20.4,-0.246,0.69,113.7,9.8,3.01
pivot,2,wick,pullback,0.5,1.0,15,450,87.2,17.3,-0.247,0.7,110.6,7.9,3.8
pivot,2,wick,pullback,0.618,1.0,15,426,82.4,14.8,-0.248,0.71,106.3,6.5,4.71
pivot,5,close,pullback,0.5,1.0,0,595,78.5,22.2,-0.249,0.68,148.5,10.2,2.62
pivot,2,close,pullback,0.5,1.0,15,441,85.5,17.9,-0.251,0.69,111.6,8.4,3.63
pivot,3,close,pullback,0.5,1.0,15,419,81.4,18.9,-0.254,0.69,105.3,9.2,3.36
pivot,2,wick,pullback,0.382,1.0,15,471,91.3,19.7,-0.255,0.68,119.0,9.3,3.15
pivot,2,close,pullback,0.5,3.0,25,155,82.4,18.1,-0.257,0.69,48.4,11.7,3.4
pivot,3,close,pullback,0.382,1.0,0,670,88.0,23.4,-0.262,0.65,175.0,10.1,2.42
pivot,2,close,pullback,0.618,3.0,25,147,78.2,15.6,-0.264,0.69,44.8,10.0,4.1
pivot,2,close,pullback,0.5,1.0,25,155,82.4,15.5,-0.265,0.69,51.3,9.7,4.36
pivot,3,close,pullback,0.618,1.0,25,137,73.3,13.9,-0.266,0.69,40.9,8.6,5.15
reclaim,0,close,pullback,0.5,1.0,0,568,82.7,15.7,-0.275,0.67,159.3,4.9,4.63
pivot,5,close,pullback,0.618,1.0,0,545,71.8,18.3,-0.279,0.66,150.8,8.4,3.4
pivot,2,close,pullback,0.382,1.0,0,684,89.8,21.6,-0.279,0.64,189.7,9.1,2.66
pivot,2,close,pullback,0.5,1.0,0,649,85.2,18.8,-0.284,0.65,184.2,7.8,3.23
pivot,2,close,pullback,0.618,1.0,25,147,78.2,12.9,-0.288,0.67,47.4,8.0,5.45
pivot,2,close,pullback,0.618,1.0,15,411,79.5,14.4,-0.292,0.66,122.9,6.9,4.57
pivot,3,close,pullback,0.5,1.0,0,620,81.5,19.8,-0.292,0.63,179.8,8.6,2.97
pivot,3,close,pullback,0.5,1.0,25,143,76.5,16.1,-0.293,0.65,48.1,10.5,4.06
pivot,2,wick,pullback,0.618,1.0,0,630,82.6,15.2,-0.295,0.65,186.3,6.1,4.18
pivot,2,wick,pullback,0.382,1.0,0,691,90.7,20.4,-0.3,0.62,206.5,8.6,2.79
pivot,2,wick,pullback,0.5,1.0,0,662,86.9,17.7,-0.304,0.63,200.7,7.3,3.37
pivot,2,close,pullback,0.618,1.0,0,607,79.6,15.3,-0.311,0.63,189.5,6.4,4.05
pivot,3,close,pullback,0.618,1.0,15,392,76.0,14.5,-0.314,0.63,122.3,7.6,4.27
pivot,3,close,pullback,0.618,3.0,25,137,73.3,15.3,-0.319,0.62,42.7,10.6,3.94
pivot,3,close,pullback,0.5,3.0,25,143,76.5,17.5,-0.335,0.59,50.1,12.5,3.23
pivot,3,close,pullback,0.618,1.0,0,580,76.1,15.9,-0.336,0.6,194.1,7.1,3.78
