entry_bar,outcome,r_multiple,risk_pips
5168,OPEN,0.0,23.2
13477,LOSS,-1.0,10.1
13582,LOSS,-1.0,5.8
13837,LOSS,-1.0,9.5
14017,OPEN,0.0,16.2
16339,WIN,0.0,7.6
20695,WIN,0.0,24.1
23546,LOSS,-1.0,3.8
23726,WIN,0.211,20.9
25123,LOSS,-1.0,13.3
26393,WIN,0.024,12.5
29268,LOSS,-1.0,8.8
29493,LOSS,-1.0,13.3
30673,LOSS,-1.0,6.7
30988,LOSS,-1.0,13.5
32141,LOSS,-1.0,5.9
32486,LOSS,-1.0,9.8
33725,LOSS,-1.0,9.9
33875,LOSS,-1.0,12.8
42266,LOSS,-1.0,8.2
42386,LOSS,-1.0,13.8
42521,OPEN,0.0,10.2
44980,WIN,0.864,8.8
46430,LOSS,-1.0,5.7
46475,LOSS,-1.0,14.3
46685,LOSS,-1.0,8.9
46910,OPEN,0.0,16.6
50845,WIN,0.563,28.4
56758,LOSS,-1.0,17.7
58181,LOSS,-1.0,15.7
59341,LOSS,-1.0,17.0
59446,WIN,0.882,22.1
60688,WIN,1.88,5.0
62536,LOSS,-1.0,13.6
62641,OPEN,0.0,7.8
63566,LOSS,-1.0,3.4
63671,LOSS,-1.0,3.7
63986,LOSS,-1.0,11.9
65193,LOSS,-1.0,15.5
65388,LOSS,-1.0,13.7
67938,WIN,0.593,14.5
70981,OPEN,0.0,10.2
72266,LOSS,-1.0,9.4
72671,LOSS,-1.0,10.0
72761,OPEN,0.0,20.4
73702,WIN,1.585,8.2
79447,WIN,0.354,18.1
80986,LOSS,-1.0,2.0
81121,LOSS,-1.0,10.3
81286,LOSS,-1.0,14.3
82357,OPEN,0.0,19.0
83863,LOSS,-1.0,15.4
86415,LOSS,-1.0,2.8
86745,WIN,0.906,10.6
87961,LOSS,-1.0,6.2
88171,LOSS,-1.0,7.0
88381,OPEN,0.0,15.7
90702,WIN,0.891,10.1
93653,LOSS,-1.0,10.5
93847,WIN,0.793,17.4
95040,LOSS,-1.0,16.0
95115,WIN,0.098,22.5
96393,LOSS,-1.0,6.2
96468,WIN,0.0,11.8
99315,LOSS,-1.0,15.3
99525,LOSS,-1.0,7.1
100789,WIN,2.038,10.5
102062,LOSS,-1.0,14.0
102152,LOSS,-1.0,14.4
102361,LOSS,-1.0,7.9
102451,WIN,0.0,38.8
110749,LOSS,-1.0,12.8
110854,LOSS,-1.0,10.2
111064,OPEN,0.0,20.5
112006,WIN,0.616,9.9
116318,LOSS,-1.0,4.6
116483,WIN,1.007,13.6
117761,WIN,1.845,11.6
119217,LOSS,-1.0,4.6
119652,OPEN,0.0,14.8
120905,LOSS,-1.0,10.5
121969,WIN,1.743,7.0
123580,OPEN,0.0,14.2
124953,OPEN,0.0,12.6
127631,WIN,0.0,20.2
129158,WIN,0.016,18.2
130548,WIN,0.306,6.2
136130,WIN,1.987,7.7
146233,LOSS,-1.0,15.4
146563,LOSS,-1.0,9.9
149032,WIN,0.374,15.5
150669,WIN,0.364,7.7
152128,LOSS,-1.0,2.0
152398,OPEN,0.0,11.9
153613,LOSS,-1.0,7.4
154920,LOSS,-1.0,8.6
155235,WIN,2.825,5.7
156396,LOSS,-1.0,8.8
156636,WIN,0.695,11.8
157725,LOSS,-1.0,3.5
157890,OPEN,0.0,9.5
160562,LOSS,-1.0,9.3
160682,WIN,1.1,13.0
163459,WIN,0.0,17.6
168096,LOSS,-1.0,14.6
169099,LOSS,-1.0,8.9
169189,LOSS,-1.0,20.2
171988,LOSS,-1.0,7.7
172258,OPEN,0.0,17.8
173494,WIN,0.047,16.9
174817,WIN,0.618,7.6
179431,LOSS,-1.0,5.7
179626,OPEN,0.0,24.2
180556,LOSS,-1.0,4.1
180736,LOSS,-1.0,10.3
180871,LOSS,-1.0,11.0
181981,WIN,1.627,6.7
183649,LOSS,-1.0,4.5
183769,WIN,0.0,31.8
190579,WIN,1.884,8.6
192001,LOSS,-1.0,11.2
192301,OPEN,0.0,7.8
193379,LOSS,-1.0,0.6
193439,LOSS,-1.0,9.9
193634,LOSS,-1.0,10.1
193739,LOSS,-1.0,10.3
197817,WIN,0.103,11.6
199390,LOSS,-1.0,8.2
199495,WIN,1.56,16.6
200542,LOSS,-1.0,2.8
200572,LOSS,-1.0,9.1
200647,WIN,0.357,21.0
202087,LOSS,-1.0,14.4
202387,WIN,0.0,23.5
204792,LOSS,-1.0,5.4
204882,WIN,0.159,13.2
207819,WIN,2.7,10.0
209202,WIN,1.292,10.6
211948,WIN,0.953,8.5
217606,LOSS,-1.0,4.0
217846,WIN,0.0,12.5
219273,LOSS,-1.0,4.2
223361,WIN,0.542,11.8
224759,LOSS,-1.0,5.5
225013,LOSS,-1.0,5.8
225058,LOSS,-1.0,8.9
225208,OPEN,0.0,12.3
226186,WIN,0.47,8.3
